,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo
0,0.4479166666666667,0.0208333333333333,0.03125
1,0.3541666666666667,0.03125,0.0
2,0.3333333333333333,0.4166666666666667,0.4270833333333333
3,0.3125,0.0208333333333333,0.2916666666666667
4,0.2083333333333333,0.1770833333333333,0.34375
5,0.3333333333333333,0.6666666666666666,0.15625
6,0.25,0.1770833333333333,0.0
7,0.25,0.2291666666666666,0.0104166666666666
8,0.2916666666666667,0.5416666666666666,0.4166666666666667
9,0.21875,0.1354166666666666,0.2916666666666667
